시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
경상남도,김해시,신나는어린이집,민간,정상,50895,경상남도 김해시 평전로 11 (외동),055-334-4964,055-321-4964,11,518,1,28,196,133,35.23359245,128.8511808,운영,,1993-03-15,,,
경상남도,김해시,연두어린이집,민간,정상,50934,"경상남도 김해시 활천로6번길 41 (삼정동, 613-21)",055-329-6780,055-329-6781,7,169,0,9,49,28,35.22866824843584,128.89845017634485,운영,,2005-07-28,,,
경상남도,김해시,원광어린이집,법인·단체등,정상,50886,경상남도 김해시 분성로3번길 65 (외동),055-335-3485,055-321-3090,4,121,1,6,39,17,35.23675725,128.8523334,운영,,1996-05-28,,,
경상남도,김해시,한림어린이집,국공립,정상,50848,경상남도 김해시 한림면 한림로442번길 29-1 ,055-342-7960,055-345-2232,5,188,1,7,52,37,35.32484217,128.8030166,운영,http//cafe.naver.com/hanrim3427960,1995-05-23,,,
경상남도,김해시,연지어린이집,가정,정상,50910,경상남도 김해시 구산로10번길 21-28 ,055-324-3933,055-334-0979,3,74,1,7,20,15,35.24817788,128.871447,운영,,2006-03-02,,,
경상남도,김해시,동그라미어린이집,가정,정상,50952,"경상남도 김해시 내외로 55 309동 103호(내동, 동아아파트)",055-324-3748,055-324-3741,5,90,0,13,20,20,35.23641994,128.8638042,운영,cafe.daum.net/csy3749,1997-05-23,,,
경상남도,김해시,동성자연어린이집,민간,정상,50817,경상남도 김해시 삼안로195번길 18-4 동성아파트단지내,055-327-9661,055-327-9661,3,126,0,5,39,15,35.24638275,128.9115248,운영,,2006-02-28,,,
경상남도,김해시,진영리라어린이집,민간,정상,50867,경상남도 김해시 진영읍 진영산복로 88-19 ,055-343-4676,055-346-4676,6,345,2,12,133,90,35.30079077,128.7270144,운영,,2002-03-18,,,
경상남도,김해시,청솔어린이집,사회복지법인,정상,50871,경상남도 김해시 진영읍 하계로 40 청솔어린이집,055-342-1909,055-342-1905,6,204,1,7,75,33,35.28897742,128.7101169,운영,,2002-01-10,,,
경상남도,김해시,삼성숲속요정어린이집,민간,정상,50947,경상남도 김해시 경원로 83 관리동1층,055-324-9390,055-314-9391,5,122,0,8,45,35,35.23697306,128.8693902,운영,,1997-03-31,,,
경상남도,김해시,노아어린이집,가정,정상,50862,경상남도 김해시 진영읍 장등로19번길 18 208동 101호,055-342-4020,055-909-4010,3,62,0,6,20,13,35.3085834,128.7329738,운영,,2006-03-20,,,
경상남도,김해시,인제대학교부설인제어린이집,법인·단체등,정상,50834,경상남도 김해시 인제로 197 인제대학교 하연관(A동) 2층 인제어린이집,055-320-3427,055-322-7908,5,232,1,7,74,37,35.24922128,128.9017704,운영,https://cafe.daum.net/ijkids,1998-04-01,,,
경상남도,김해시,진영어린이집,국공립,정상,50864,경상남도 김해시 진영읍 여래로19번길 10-3 ,055-345-7247,055-343-7247,5,233,1,13,88,82,35.30522038,128.7377059,운영,home.gneducare.kr/jyc7247,1991-07-01,,,
경상남도,김해시,진영엘림어린이집,민간,재개,50867,경상남도 김해시 진영읍 진영로26번길 19-1 해비치어린이집,055-345-7180,--,3,89,0,8,27,24,35.30359625,128.7179032,운영,,2007-08-20,,,
경상남도,김해시,하늘꿈어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 55 112동 101호(, 중흥에스클래스진영1단지아파트)",055-342-7879,055-342-7876,4,83,0,6,19,18,35.26998815,128.7577409,운영,,2006-03-13,,,
경상남도,김해시,서부어린이집,국공립,정상,50939,경상남도 김해시 전하로208번길 7-13 ,055-333-4043,055-333-4093,5,233,2,12,90,61,35.22272627,128.8708069,운영,,1992-01-10,,,
경상남도,김해시,해솔어린이집,민간,정상,50838,경상남도 김해시 활천로 181 어방동680번지 동원아파트관리동내,055-325-5885,055-325-5883,4,197,1,12,57,45,35.24150342,128.9002204,운영,,1999-01-04,,,
경상남도,김해시,늘사랑어린이집,사회복지법인,정상,50837,경상남도 김해시 인제로125번길 21-1 ,055-335-1339,055-336-8008,11,323,1,18,49,33,35.24114547,128.9028962,운영,alwayslove.org,2004-10-06,,,
경상남도,김해시,아이사랑어린이집,민간,정상,50812,경상남도 김해시 삼안로310번길 9 (삼방동),055-321-5795,055-321-5796,7,272,1,11,90,37,35.25274863,128.9047599,운영,isarang90@hanmail.net,1994-09-24,,,
