,유치원명,설립유형_x,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,차량운영여부,운행차량수,신고차량수,9인승신고차량수,12인승신고차량수,15인승신고차량수,x,y
0,매화숲유치원,사립(사인),경상남도 김해시 함박로101번길 19-1,08시00분~20시00분,,1.0,2.0,1,,,25.0,44.0,22,,100,,25.0,50.0,25,,Y,2,2,0,0,2,128.8631924,35.2334556
1,삼성이칼러지유치원,사립(사인),경상남도 김해시 김해대로332번길 38-22,09시30분~18시30분,,,1.0,2,,,,28.0,22,,210,,,28.0,42,,Y,1,1,0,0,1,128.7225945,35.3059938
2,아이숲유치원,사립(사인),경상남도 김해시 월산로 111-79,09시50분~18시30분,,2.0,2.0,3,,,43.0,52.0,65,,172,,48.0,56.0,68,,Y,2,2,0,0,2,128.8018249,35.2029982
3,진례초등학교병설유치원,공립(병설),경상남도 김해시 송현로 74-12,08시40분~17시40분,,,,1,,,,,8,,18,,,,18,,Y,1,1,0,0,1,128.7556677,35.2477976
4,김해가야초등학교병설유치원,공립(병설),경상남도 김해시 분성로3번길 45,08시30분~18시30분,,,,1,,,,,5,,18,,,,18,,N,0,0,0,0,0,128.8515328,35.2366508
5,김해봉황초등학교병설유치원,공립(병설),경상남도 김해시 전하로198번길 5,08시40분~17시00분,,,,1,,,,,18,,18,,,,18,,N,0,0,0,0,0,128.8698473,35.2222024
6,영림유치원,사립(사인),경상남도 김해시 분성로 14-2,08시00분~18시30분,2.0,2.0,2.0,0,,38.0,50.0,53.0,0,,180,38.0,50.0,56.0,0,,Y,2,2,0,0,2,128.8494948,35.2321180
7,빛누리유치원,사립(사인),경상남도 김해시 분성로3번길 169,08시00분~18시00분,2.0,2.0,2.0,0,,37.0,29.0,39.0,0,,175,38.0,50.0,56.0,0,,Y,2,2,0,0,2,128.8593972,35.2437614
8,산새소리유치원,사립(사인),경상남도 김해시 삼문로 77-1,09시10분~18시00분,6.0,5.0,5.0,0,,114.0,125.0,134.0,0,,385,114.0,125.0,140.0,0,,Y,4,4,0,0,4,128.8087550,35.1928682
9,삼방초등학교병설유치원,공립(병설),경상남도 김해시 삼안로235번길 20,08시40분~16시40분,,,,1,1.0,,,,9,3.0,16,,,,12,4.0,N,0,0,0,0,0,128.9079750,35.2491680
